Language,Percentage,Usage Index
Python,66.4,100
HTML/CSS,60.4,90
JavaScript,60.4,88
Java,39.5,70
C++,39.3,68
SQL,38.1,66
C,38.0,65
Bash/Shell,29.8,50
TypeScript,26.1,45
C#,22.5,40
Rust,18.5,35
PHP,15.2,30
Assembly,12.5,25
Lua,10.7,22
PowerShell,10.6,21
Go,9.8,20
Kotlin,9.6,19
Dart,7.8,16
MATLAB,7.4,15
R,5.8,12
GDScript,5.5,10
Haskell,4.7,9
Swift,3.8,8
MicroPython,3.3,7
Visual Basic,3.3,6
Ruby,2.8,5
VBA,2.4,4
Zig,2.1,4
Lisp,2.0,3
OCaml,2.0,3
Prolog,1.9,3
Scala,1.7,2
Julia,1.6,2
Ada,1.5,2
Elixir,1.3,2
Perl,1.3,2
Solidity,1.2,2
Objective-C,1.0,1
Groovy,1.0,1
Fortran,1.0,1
Clojure,0.9,1
Delphi,0.8,1
F#,0.8,1
Nim,0.8,1
Apex,0.7,1
Erlang,0.6,1
Crystal,0.6,1
Cobol,0.6,1
Zephyr,0.4,1
